Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Ranged (15),,5d12+18,"Ranged (15), 1 Target, Blast",0,, 1 Target,,"Ranged (15), 1 Target, Blast",,5d12+18,,,, Blast,,6,,Electric,Cool - 2d4 - Round Starter,,,0,Thunder, 1 Target,Special,6,,"A 3-meter Blast surrounds the target. Thunder Paralyzes all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Thunder's Accuracy Check is 11. If it is Rainy, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss them",,Cool - 2d4 - Round Starter,Battle,,,Battle,,Ranged (15), Blast,,,Electric,Special,"A 3-meter Blast surrounds the target. Thunder Paralyzes all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Thunder's Accuracy Check is 11. If it is Rainy, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss them"
Ranged (10),,5d12+18,"Ranged (10), 1 Target, Blast",0,, 1 Target,,"Ranged (10), 1 Target, Blast",,5d12+18,,,, Blast,,12,,Electric,Cool - 2d4 - Incentives,,,0,Zap Cannon, 1 Target,Special,12,,"A 2-meter Blast surrounds the target, Paralyzing all Legal Targets in the Blast.",,Cool - 2d4 - Incentives,Battle,,,Battle,,Ranged (10), Blast,,,Electric,Special,"A 2-meter Blast surrounds the target, Paralyzing all Legal Targets in the Blast."
Ranged (15),,7d10+28,"Ranged (15), Target Area, Blast, Exhaust",0,, Target Area,,"Ranged (15), Target Area, Blast, Exhaust",,7d10+28,,,, Blast,,4,,Fire,Beauty - 2d4 - Seen Nothing Yet,,,0,Blast Burn, Target Area,Special,4,,"Blast Burn creates a 3-meter Blast. On Miss, Blast Burn deals the user's Special Attack instead to all possible targets.",,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (15), Blast,,,Fire,Special,"Blast Burn creates a 3-meter Blast. On Miss, Blast Burn deals the user's Special Attack instead to all possible targets."
Ranged (10),,5d12+18,"Ranged (10), 1 Target, Blast",0,, 1 Target,,"Ranged (10), 1 Target, Blast",,5d12+18,,,, Blast,,6,,Fire,Beauty - 2d4 - Round Starter,,,0,Fire Blast, 1 Target,Special,6,,Fire Blast creates a 2-meter Blast. Fire Blast burns all Legal Targets on 19-20 during Accuracy Check. *Grants: Firestarter,,Beauty - 2d4 - Round Starter,Battle,,,Battle,,Ranged (10), Blast,,,Fire,Special,Fire Blast creates a 2-meter Blast. Fire Blast burns all Legal Targets on 19-20 during Accuracy Check. *Grants: Firestarter
Ranged (6),,3d8+10,"Ranged (6), No Target, Blast",0,, No Target,,"Ranged (6), No Target, Blast",,3d8+10,,,, Blast,,2,,Fire,Beauty - 2d4 - Round Starter,,,0,Flame Burst, No Target,Special,2,,"Flame Burst creates a 4-meter Blast. All Legal Targets, not including the central target, hit in the Blast lose 1/16th of their max HP instead of taking the Damage Dice Roll for damage. *Grants: Firestarter",,Beauty - 2d4 - Round Starter,EOT,,,EOT,,Ranged (6), Blast,,,Fire,Special,"Flame Burst creates a 4-meter Blast. All Legal Targets, not including the central target, hit in the Blast lose 1/16th of their max HP instead of taking the Damage Dice Roll for damage. *Grants: Firestarter"
Ranged (2),,4d12+16,"Ranged (2), No Target, Blast",0,, No Target,,"Ranged (2), No Target, Blast",,4d12+16,,,, Blast,,11,,Fire,Beauty - 3d4 - No Effect,,,0,Inferno, No Target,Special,11,,Inferno creates a 2-meter Blast. Inferno Burns all Legal Targets.,,Beauty - 3d4 - No Effect,Center,,,Center,,Ranged (2), Blast,,,Fire,Special,Inferno creates a 2-meter Blast. Inferno Burns all Legal Targets.
Ranged (10),,-,"Ranged (10), 1 Target, Blast",0,, 1 Target,,"Ranged (10), 1 Target, Blast",,-,,,, Blast,,2,,Flying,Beauty - 2d4 - Excitement,,,0,Featherdance, 1 Target,Effect,2,,Feather Dance creates a 1-meter Blast. All Legal Targets in the Blast have their Attack lowered 2 Combat Stages.,,Beauty - 2d4 - Excitement,EOT,,,EOT,,Ranged (10), Blast,,,Flying,Effect,Feather Dance creates a 1-meter Blast. All Legal Targets in the Blast have their Attack lowered 2 Combat Stages.
Ranged (8),,5d12+18,"Ranged (8), 1 Target, Blast",0,, 1 Target,,"Ranged (8), 1 Target, Blast",,5d12+18,,,, Blast,,6,,Flying,Cool - 2d4 - Round Starter,,,0,Hurricane, 1 Target,Special,6,,"Hurricane creates a 4-meter Blast. Hurricane Confuses all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Hurricane's Accuracy Check is 11. If it is Rainy, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss them.",,Cool - 2d4 - Round Starter,Battle,,,Battle,,Ranged (8), Blast,,,Flying,Special,"Hurricane creates a 4-meter Blast. Hurricane Confuses all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Hurricane's Accuracy Check is 11. If it is Rainy, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss them."
Ranged (10),,-,"Ranged (10), 1 Target, Blast",0,, 1 Target,,"Ranged (10), 1 Target, Blast",,-,,,, Blast,,2,,Grass,Beauty - 2d4 - Quick Set,,,0,Cotton Spore, 1 Target,Effect,2,,Cotton Spore creates a 2-meter Blast. All Legal Targets have their Speed lowered 2 Combat Stages.,,Beauty - 2d4 - Quick Set,EOT,,,EOT,,Ranged (10), Blast,,,Grass,Effect,Cotton Spore creates a 2-meter Blast. All Legal Targets have their Speed lowered 2 Combat Stages.
Ranged (15),,7d10+28,"Ranged (15), Target Area, Blast, Exhaust",0,, Target Area,,"Ranged (15), Target Area, Blast, Exhaust",,7d10+28,,,, Blast,,4,,Grass,Cool - 2d4 - Seen Nothing Yet,,,0,Frenzy Plant, Target Area,Special,4,,"Frenzy Plant creates a 3-meter Blast. On Miss, Frenzy Plant deals the user's Special Attack instead to all possible targets.",,Cool - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (15), Blast,,,Grass,Special,"Frenzy Plant creates a 3-meter Blast. On Miss, Frenzy Plant deals the user's Special Attack instead to all possible targets."
Ranged (8),,3d10+12,"Ranged (8), 1 Target, Blast",0,, 1 Target,,"Ranged (8), 1 Target, Blast",,3d10+12,,,, Blast,,2,,Grass,Smart - 3d4 - No Effect,,,0,Seed Bomb, 1 Target,Physical,2,,Seed Bomb creates a 2-meter Blast.,,Smart - 3d4 - No Effect,EOT,,,EOT,,Ranged (8), Blast,,,Grass,Physical,Seed Bomb creates a 2-meter Blast.
Ranged (15),,5d12+18,"Ranged (15), 1 Target, Blast",0,, 1 Target,,"Ranged (15), 1 Target, Blast",,5d12+18,,,, Blast,,5,,Grass,Cool - 2d4 - Seen Nothing Yet,,,0,Seed Flare, 1 Target,Special,5,,Seed Flare creates a 3-meter Blast. All Legal Targets have their Special Defense lowered 1 Combat Stage.,,Cool - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (15), Blast,,,Grass,Special,Seed Flare creates a 3-meter Blast. All Legal Targets have their Special Defense lowered 1 Combat Stage.
Ranged (6),,-,"Ranged (6), 1 Target, Blast",0,, 1 Target,,"Ranged (6), 1 Target, Blast",,-,,,, Blast,,6,,Grass,Smart - None - Inversed Appeal,,,0,Sleep Powder, 1 Target,Effect,6,,Sleep Powder creates a 1-meter Blast. All Legal Targets fall Asleep.,,Smart - None - Inversed Appeal,Center,,,Center,,Ranged (6), Blast,,,Grass,Effect,Sleep Powder creates a 1-meter Blast. All Legal Targets fall Asleep.
Ranged (6),,-,"Ranged (6), 1 Target, Blast",0,, 1 Target,,"Ranged (6), 1 Target, Blast",,-,,,, Blast,,11,,Grass,Smart - 2d4 - Excitement,,,0,Stun Spore, 1 Target,Effect,11,,Stun Spore creates a 1-meter Blast. Stun Spore paralyzes al Legal Targets.,,Smart - 2d4 - Excitement,At-Will,,,At-Will,,Ranged (6), Blast,,,Grass,Effect,Stun Spore creates a 1-meter Blast. Stun Spore paralyzes al Legal Targets.
Ranged (6),,3d12+14,"Ranged (6), 1 Target, Blast",0,, 1 Target,,"Ranged (6), 1 Target, Blast",,3d12+14,,,, Blast,,2,,Ground,Smart - 2d4 - Round Ender,,,0,Earth Power, 1 Target,Special,2,,Earth Power creates a 3-meter Blast. Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16-20 during Accuracy Check.,,Smart - 2d4 - Round Ender,Battle,,,Battle,,Ranged (6), Blast,,,Ground,Special,Earth Power creates a 3-meter Blast. Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16-20 during Accuracy Check.
Ranged (6),,3d8+10,"Ranged (6), 1 Target, Blast",0,, 1 Target,,"Ranged (6), 1 Target, Blast",,3d8+10,,,, Blast,,4,,Ground,Smart - 2d4 - Round Ender,,,0,Mud Bomb, 1 Target,Special,4,,Mud Bomb creates a 1-meter Blast. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter on 17-20 during Accuracy Check.,,Smart - 2d4 - Round Ender,EOT,,,EOT,,Ranged (6), Blast,,,Ground,Special,Mud Bomb creates a 1-meter Blast. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter on 17-20 during Accuracy Check.
Ranged (4),,-,"Ranged (4), 1 Target, Blast",0,, 1 Target,,"Ranged (4), 1 Target, Blast",,-,,,, Blast,,16,,Ice,Beauty - 2d4 - Big Show,,,0,Sheer Cold, 1 Target,Effect,16,,Sheer Cold creates 3-meter Blast. All Legal Targets have their HP set to 0. *Grants: Freezer,,Beauty - 2d4 - Big Show,Center,,,Center,,Ranged (4), Blast,,,Ice,Effect,Sheer Cold creates 3-meter Blast. All Legal Targets have their HP set to 0. *Grants: Freezer
Ranged (8),,4d12+16,"Ranged (8), 1 Target, Blast",0,, 1 Target,,"Ranged (8), 1 Target, Blast",,4d12+16,,,, Blast,,6,,Normal,Tough - 3d4 - No Effect,,,0,Egg Bomb, 1 Target,Physical,6,,Egg Bomb creates a 2-meter Blast.,,Tough - 3d4 - No Effect,Battle,,,Battle,,Ranged (8), Blast,,,Normal,Physical,Egg Bomb creates a 2-meter Blast.
Ranged (25),,4d12+16,"Ranged (25), 1 Target, Blast",0,, 1 Target,,"Ranged (25), 1 Target, Blast",,4d12+16,,,, Blast,,2,,Normal,Smart - 2d4 - Scrambler,,,0,Judgement, 1 Target,Special,2,,Judgement makes a 5-meter Blast. Judgment's Type can be whatever Elemental Type the user wants it to be.,,Smart - 2d4 - Scrambler,Center,,,Center,,Ranged (25), Blast,,,Normal,Special,Judgement makes a 5-meter Blast. Judgment's Type can be whatever Elemental Type the user wants it to be.
Ranged (8),,5d12+18,"Ranged (8), Target Area, Blast",0,, Target Area,,"Ranged (8), Target Area, Blast",,5d12+18,,,, Blast,,7,,Poison,Cool - 3d4 - No Effect,,,0,Gunk Shot, Target Area,Physical,7,,"Gunk Shot creates a 3-meter Blast. Gunk Shot Poisons all Legal Targets on 11-20 during Accuracy Check. On Miss, Gunk Shot deals the user's Attack to potential targets but cannot Poison.",,Cool - 3d4 - No Effect,Center,,,Center,,Ranged (8), Blast,,,Poison,Physical,"Gunk Shot creates a 3-meter Blast. Gunk Shot Poisons all Legal Targets on 11-20 during Accuracy Check. On Miss, Gunk Shot deals the user's Attack to potential targets but cannot Poison."
Ranged (4),,-,"Ranged (4), 1 Target, Blast",0,, 1 Target,,"Ranged (4), 1 Target, Blast",,-,,,, Blast,,6,,Poison,Smart - 2d4 - Excitement,,,0,Poisonpowder, 1 Target,Effect,6,,Poisonpowder creates a 1-meter Blast. Poisonpowder Poisons all Legal Targets.,,Smart - 2d4 - Excitement,EOT,,,EOT,,Ranged (4), Blast,,,Poison,Effect,Poisonpowder creates a 1-meter Blast. Poisonpowder Poisons all Legal Targets.
Ranged (8),,3d12+14,"Ranged (8), 1 Target, Blast",0,, 1 Target,,"Ranged (8), 1 Target, Blast",,3d12+14,,,, Blast,,2,,Poison,Tough - 2d4 - Round Ender,,,0,Sludge Bomb, 1 Target,Special,2,,Sludge Bomb creates a 3-meter Blast. Sludge Bomb poisons all Legal Targets on 15-20 during Accuracy Check.,,Tough - 2d4 - Round Ender,Battle,,,Battle,,Ranged (8), Blast,,,Poison,Special,Sludge Bomb creates a 3-meter Blast. Sludge Bomb poisons all Legal Targets on 15-20 during Accuracy Check.
Ranged (3),,1d6+3,"Ranged (3), 1 Target, Blast",0,, 1 Target,,"Ranged (3), 1 Target, Blast",,1d6+3,,,, Blast,,5,,Poison,Tough - 3d4 - No Effect,,,0,Smog, 1 Target,Special,5,,Smog creates a 3-meter Blast. Smog Poisons all Legal Targets on 13-20 during Accuracy Check.,,Tough - 3d4 - No Effect,EOT,,,EOT,,Ranged (3), Blast,,,Poison,Special,Smog creates a 3-meter Blast. Smog Poisons all Legal Targets on 13-20 during Accuracy Check.
Ranged (10),,6d12+22,"Ranged (10), Target Area, Blast",0,, Target Area,,"Ranged (10), Target Area, Blast",,6d12+22,,,, Blast,,4,,Psychic,Smart - 2d4 - Seen Nothing Yet,,,0,Psycho Boost, Target Area,Special,4,,Psycho Boost creates a 4-meter Blast. Lower the user's Special Attack 2 Combat Stages after damage.,,Smart - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (10), Blast,,,Psychic,Special,Psycho Boost creates a 4-meter Blast. Lower the user's Special Attack 2 Combat Stages after damage.
Ranged (6),,2d8+6,"Ranged (6), 1 Target, Blast",0,, 1 Target,,"Ranged (6), 1 Target, Blast",,2d8+6,,,, Blast,,5,,Rock,Smart - 2d4 - Slow Set,,,0,Rock Tomb, 1 Target,Physical,5,,Rock Tomb creates a 3-meter Blast. Rock Tomb lowers all Legal Targets Speed 1 Combat Stage. *Grants: Materializer,,Smart - 2d4 - Slow Set,Battle,,,Battle,,Ranged (6), Blast,,,Rock,Physical,Rock Tomb creates a 3-meter Blast. Rock Tomb lowers all Legal Targets Speed 1 Combat Stage. *Grants: Materializer
Ranged (15),,7d10+28,"Ranged (15), Target Area, Blast, Exhaust",0,, Target Area,,"Ranged (15), Target Area, Blast, Exhaust",,7d10+28,,,, Blast,,4,,Water,Beauty - 2d4 - Seen Nothing Yet,,,0,Hydro Cannon, Target Area,Special,4,,"Hydro Cannon creates a 3-meter Blast. On Miss, Hydro Cannon deals the user's Special Attack instead to all possible targets.",,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (15), Blast,,,Water,Special,"Hydro Cannon creates a 3-meter Blast. On Miss, Hydro Cannon deals the user's Special Attack instead to all possible targets."
Ranged (10),,See Effect,"Ranged (10), 1 Target, Berry",0,, 1 Target,,"Ranged (10), 1 Target, Berry",,See Effect,,,, Berry,,2,,Normal,Cool - 2d4 - Round Ender,,,0,Natural Gift, 1 Target,Special,2,,Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift's Type is also defined there. The user's Berry is destroyed and is not consumed. *Grants: Sprouter,,Cool - 2d4 - Round Ender,Battle,,,Battle,,Ranged (10), Berry,,,Normal,Special,Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift's Type is also defined there. The user's Berry is destroyed and is not consumed. *Grants: Sprouter
Ranged (10),,3d12+14,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,3d12+14,,,,,,2,,Bug,Smart - 2d4 - Incentives,,,0,Attack Order, 1 Target,Physical,2,18,Attack Order is a Critical Hit on 18-20 during Accuracy Check.,,Smart - 2d4 - Incentives,Battle,18,,Battle,,Ranged (10),,,,Bug,Physical,Attack Order is a Critical Hit on 18-20 during Accuracy Check.
Melee,,2d10+8,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,2d10+8,,,,,,2,,Bug,Tough - None - Attention Grabber,,,0,Bug Bite, 1 Target,Physical,2,,"If the target has a consumable Held Item, Bug Bite destroys the Item and Bug Bite's user may use the Item's effect.",,Tough - None - Attention Grabber,EOT,,,EOT,,Melee,,,,Bug,Physical,"If the target has a consumable Held Item, Bug Bite destroys the Item and Bug Bite's user may use the Item's effect."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Bug,Smart - None - Get Ready!,,,0,Defend Order, No Target,Effect,0,,Raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage.,,Smart - None - Get Ready!,EOT,,,EOT,,Self,,,,Bug,Effect,Raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage.
Melee,,1d4,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,1d4,,,,,,3,,Bug,Cool - 2d4 - Reliable,,,0,Fury Cutter, 1 Target,Physical,3,,"If Fury Cutter is used successfully and consecutively on the same target, on the round immediately after the last, use 1d12+6 on the second hit instead, 2d12+12 on the third hit instead, 3d12+18 on the fourth hit instead and 4d12+24 on the fifth hit and any successful hits following the fifth hit instead for Fury Cutter's Damage Dice Roll.",,Cool - 2d4 - Reliable,At-Will,,,At-Will,,Melee,,,,Bug,Physical,"If Fury Cutter is used successfully and consecutively on the same target, on the round immediately after the last, use 1d12+6 on the second hit instead, 2d12+12 on the third hit instead, 3d12+18 on the fourth hit instead and 4d12+24 on the fifth hit and any successful hits following the fifth hit instead for Fury Cutter's Damage Dice Roll."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Bug,Smart - None - Reflective Appeal,,,0,Heal Order, No Target,Effect,0,,The user regains HP equal to half of its full HP.,,Smart - None - Reflective Appeal,Center,,,Center,,Self,,,,Bug,Effect,The user regains HP equal to half of its full HP.
Melee,,1d6+1,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,1d6+1,,,,,,2,,Bug,Smart - 1d4 - Good Show!,,,0,Leech Life, 1 Target,Physical,2,,"After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",,Smart - 1d4 - Good Show!,EOT,,,EOT,,Melee,,,,Bug,Physical,"After the target takes damage, the user gains HP equal to half of the damage they dealt to the target."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Bug,Cool - None - Get Ready!,,,0,Quiver Dance, No Target,Effect,0,,"Raise the user's Special Attack 1 Combat Stage, raise the user's Special Defense 1 Combat Stage and raise the user's Speed 1 Combat Stage.",,Cool - None - Get Ready!,EOT,,,EOT,,Self,,,,Bug,Effect,"Raise the user's Special Attack 1 Combat Stage, raise the user's Special Defense 1 Combat Stage and raise the user's Speed 1 Combat Stage."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Bug,Beauty - None - Get Ready!,,,0,Tail Glow, No Target,Effect,0,,Raise the user's Special Attack 3 Combat Stages. *Grants: Glow,,Beauty - None - Get Ready!,Battle,,,Battle,,Self,,,,Bug,Effect,Raise the user's Special Attack 3 Combat Stages. *Grants: Glow
